dane,Cluster,colegio
1.050e+11,3,"INST EDUC JOSE MARIA VELAZ"
1.050e+11,2,"INST EDUC BARRIO SANTA CRUZ"
1.050e+11,2,"INST EDUC CEFA"
1.050e+11,2,"INST EDUC JOSE MARIA BERNAL"
1.050e+11,1,"INST EDUC CAMILO TORRES RESTREPO"
1.050e+11,5,"INST EDUC GABRIEL RESTREPO MORENO"
1.050e+11,2,"INST EDUC SAN AGUSTIN"
1.050e+11,2,"INST EDUC HECTOR ABAD GOMEZ"
1.050e+11,4,"INST EDUC JUAN DE LA CRUZ POSADA"
1.050e+11,3,"INST EDUC JOSE ACEVEDO Y GOMEZ"
1.050e+11,4,"INST EDUC LA MILAGROSA"
1.050e+11,4,"INST EDUC LA SALLE DE CAMPOAMOR"
1.050e+11,4,"INST EDUC CARACAS"
1.050e+11,2,"INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN"
1.050e+11,5,"INST EDUC ALFREDO COCK ARANGO"
1.050e+11,3,"INST EDUC PERPETUO SOCORRO"
1.050e+11,5,"INST EDUC JESUS MARIA   EL ROSAL"
1.050e+11,2,"INST EDUC REPUBLICA DE VENEZUELA"
1.050e+11,3,"INST EDUC JAVIERA LONDOÑO-SEVILLA"
1.050e+11,2,"INST EDUC DIEGO ECHAVARRIA MISAS"
1.050e+11,1,"INST EDUC GILBERTO ALZATE AVENDAÑO"
1.050e+11,4,"INST EDUC GONZALO RESTREPO JARAMILLO"
1.050e+11,5,"INST EDUC ANTONIO RICAURTE"
1.050e+11,3,"INST EDUC JOSE ROBERTO VASQUEZ"
1.050e+11,1,"INST EDUC SAN JUAN BAUTISTA DE LA SALLE"
1.050e+11,5,"INST  EDUC AURES"
1.050e+11,5,"INST EDUC REPUBLICA DE BARBADOS"
1.050e+11,4,"INST EDUC CRISTOBAL COLON"
1.050e+11,3,"INST EDUC CIRO MENDIA"
1.050e+11,4,"INST EDUC MADRE MARIA MAZARELLO"
1.050e+11,3,"INST EDUC ALVARO MARIN VELASCO"
1.050e+11,1,"INST EDUC MANUELA BELTRAN"
1.050e+11,3,"INST EDUC LOLA GONZALEZ"
1.050e+11,2,"INST EDUC JAVIERA LONDOÑO"
1.050e+11,2,"INST EDUC YERMO Y PARRES"
1.050e+11,4,"INST EDUC JOSE CELESTINO MUTIS"
1.050e+11,1,"INST EDUC JOSE ANTONIO GALAN"
1.050e+11,3,"INST EDUC RICARDO URIBE ESCOBAR"
1.050e+11,3,"INST EDUC GERARDO VALENCIA CANO"
1.050e+11,5,"INST EDUC FE Y ALEGRIA POPULAR NRO. 1"
1.050e+11,2,"INST EDUC SOR JUANA INES DE LA CRUZ"
1.050e+11,4,"INST EDUC SAN ROBERTO BELARMINO"
1.050e+11,4,"INST EDUC FEDERICO OZANAM"
1.050e+11,4,"INST EDUC RAFAEL URIBE URIBE"
1.050e+11,1,"INST EDUC JOSE EUSEBIO CARO"
1.050e+11,1,"INST EDUC BENJAMIN HERRERA"
1.050e+11,4,"INST EDUC JUAN DE DIOS COCK"
1.050e+11,3,"INST EDUC MARCO FIDEL SUAREZ"
1.050e+11,4,"INST EDUC RAMON MUNERA LOPERA"
1.050e+11,3,"INST EDUC MARISCAL ROBLEDO"
1.050e+11,5,"INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO"
1.050e+11,3,"INST EDUC GABRIEL GARCIA MARQUEZ"
1.050e+11,4,"INST EDUC LUCRECIO JARAMILLO VELEZ"
1.050e+11,3,"INST EDUC SAN VICENTE DE PAUL"
1.050e+11,3,"INST EDUC PEDRO LUIS VILLA"
1.050e+11,1,"INST EDUC CRISTO REY"
1.050e+11,4,"INST EDUC SAMUEL BARRIENTOS RESTREPO"
1.050e+11,4,"INST EDUC SAN FRANCISCO DE ASIS"
1.050e+11,4,"INST EDUC MATER DEI"
1.050e+11,3,"INST EDUC FRANCISCO ANTONIO ZEA"
1.050e+11,4,"INST EDUC LA PIEDAD"
1.050e+11,4,"INST EDUC FATIMA NUTIBARA"
1.050e+11,2,"INST EDUC REPUBLICA DE HONDURAS"
1.050e+11,4,"INST EDUC MANUEL JOSE CAYZEDO"
1.050e+11,2,"INST EDUC OCTAVIO HARRY"
1.050e+11,2,"INST EDUC MARIA MONTESSORI"
1.050e+11,2,"INST EDUC LORENZA VILLEGAS DE SANTOS"
1.050e+11,2,"INST EDUC SANTA ROSA DE LIMA"
1.050e+11,4,"INST EDUC JOSE MARIA BRAVO MARQUEZ"
1.050e+11,3,"INS TEC INDUSTRIAL PASCUAL BRAVO"
1.050e+11,2,"INST EDUC ROSALIA SUAREZ"
1.050e+11,4,"INST EDUC LA PRESENTACION"
1.050e+11,1,"INST EDUC SANTO ANGEL"
1.050e+11,1,"INST EDUC CAMPO VALDES"
1.050e+11,2,"INST EDUC MONSEÑOR FRANCISCO CRISTOBAL TORO"
1.050e+11,3,"INST EDUC TULIO OSPINA"
1.050e+11,2,"INST EDUC JUAN DE DIOS CARVAJAL"
1.050e+11,1,"INST EDUC REPUBLICA DE URUGUAY"
1.050e+11,1,"INST EDUC ENRIQUE OLAYA HERRERA"
1.050e+11,4,"INST EDUC FRANCISCO MIRANDA"
1.050e+11,1,"INST EDUC DINAMARCA"
1.050e+11,4,"INST EDUC JULIO CESAR GARCIA"
1.050e+11,1,"INST EDUC PEDRO OCTAVIO AMADO"
1.050e+11,3,"INST EDUC JORGE ROBLEDO"
1.050e+11,2,"INST EDUC RODRIGO CORREA PALACIO"
1.050e+11,4,"INST EDUC ASIA IGNACIANA"
1.050e+11,2,"INST EDUC CONCEJO DE MEDELLIN"
1.050e+11,3,"INST EDUC SEBASTIAN DE BELALCAZAR"
1.050e+11,4,"INST EDUC BENEDIKTA ZUR NIEDEN"
1.050e+11,2,"INST EDUC MARIA DE LOS ANGELES CANO MARQUEZ"
1.050e+11,4,"INST EDUC OCTAVIO CALDERON MEJIA"
1.050e+11,5,"INST EDUC PEDRO CLAVER AGUIRRE"
1.050e+11,1,"INST EDUC JUVENIL NUEVO FUTURO"
1.050e+11,1,"INST EDUC PABLO NERUDA"
1.050e+11,2,"INST EDUC BELLO HORIZONTE"
1.050e+11,5,"INST EDUC LORETO"
1.050e+11,1,"INST EDUC RAMON GIRALDO CEBALLOS"
1.050e+11,5,"INST EDUC CAPILLA DEL ROSARIO"
1.050e+11,2,"INST EDUC SAN LORENZO DE ABURRA"
1.050e+11,4,"INST EDUC SAN JUAN BOSCO"
1.050e+11,2,"INST EDUC FELIX HENAO BOTERO"
1.050e+11,1,"INST EDUC HERNAN TORO AGUDELO"
1.050e+11,5,"INST EDUC MAESTRO FERNANDO BOTERO"
1.050e+11,2,"INST EDUC SANTOS ANGELES CUSTODIOS"
1.050e+11,5,"INST EDUC LA ESPERANZA"
1.050e+11,5,"INST EDUC FE Y ALEGRIA LA CIMA"
1.050e+11,2,"INST EDUC  ANA DE CASTRILLON"
1.050e+11,4,"INST EDUC TOMAS CARRASQUILLA NO. 2"
1.050e+11,3,"INST EDUC JOSE ASUNCION SILVA"
1.050e+11,4,"INST EDUC MERCEDITAS GOMEZ MARTINEZ"
1.050e+11,1,"INST EDUC CIUDADELA LAS AMERICAS"
1.050e+11,1,"INST EDUC DOCE DE OCTUBRE"
1.050e+11,2,"INST EDUC FE Y ALEGRIA AURES"
1.050e+11,4,"INST EDUC HORACIO MUÑOZ SUESCUN"
1.050e+11,4,"INST EDUC ASAMBLEA DEPARTAMENTAL"
1.050e+11,5,"INST EDUC FEDERICO CARRASQUILLA"
1.050e+11,5,"INST EDUC FE Y ALEGRIA VILLA DE LA CANDELARIA"
1.050e+11,4,"INST EDUC AMERICA"
1.050e+11,1,"INST EDUC BARRIO SANTANDER"
1.050e+11,3,"INST EDUC JUAN MARIA CESPEDES"
1.050e+11,2,"INST EDUC GUADALUPE"
1.050e+11,2,"INST EDUC ALFONSO LOPEZ PUMAREJO"
1.050e+11,5,"INST EDUC SAN PABLO"
1.050e+11,3,"INST EDUC PICACHITO"
1.050e+11,2,"INST EDUC MAESTRO PEDRO NEL GOMEZ"
1.050e+11,2,"INST EDUC SANTA TERESA"
1.050e+11,4,"INST EDUC INEM JOSE FELIX DE RESTREPO"
1.050e+11,2,"INST EDUC FELIX DE BEDOUT MORENO"
1.050e+11,5,"INST EDUC JOSE HORACIO BETANCUR"
1.050e+11,5,"INST EDUC LOMA HERMOSA"
1.050e+11,5,"INST EDUC NUEVO HORIZONTE"
1.050e+11,3,"INST EDUC LUIS LOPEZ DE MESA"
1.050e+11,5,"INST EDUC JESUS REY"
1.050e+11,2,"INST EDUC FE Y ALEGRIA GRANIZAL"
1.050e+11,3,"INST EDUC CAMILO MORA CARRASQUILLA"
1.050e+11,3,"INST EDUC EDUARDO SANTOS"
1.050e+11,3,"INST EDUC LA LIBERTAD"
1.050e+11,3,"INST EDUC VILLA TURBAY"
1.050e+11,2,"INST EDUC VALLEJUELOS"
1.050e+11,4,"INST EDUC TRICENTENARIO"
1.050e+11,1,"INST EDUC FE Y ALEGRIA SAN JOSE"
1.050e+11,5,"INST EDUC MANUEL JOSE GOMEZ S"
1.050e+11,4,"INST EDUC FE Y ALEGRIA EL LIMONAR"
1.050e+11,2,"INST EDUC ESTELLA VELEZ LONDOÑO ANTES SAUL LONDOÑO LONDOÑO"
1.050e+11,1,"INST EDUC ALFONSO MORA NARANJO"
1.050e+11,4,"INST EDUC VIDA PARA TODOS"
1.050e+11,5,"INST EDUC EL PEDREGAL"
1.050e+11,5,"INST EDUC LA AVANZADA"
1.050e+11,2,"INST EDUC BARRIO SANTA MARGARITA"
1.050e+11,1,"INST EDUC LUIS CARLOS GALAN SARMIENTO"
1.050e+11,2,"INST EDUC VILLA DEL SOCORRO"
1.050e+11,3,"INST EDUC RODRIGO LARA BONILLA"
1.050e+11,1,"INST EDUC ALFONSO LOPEZ"
1.050e+11,5,"INST EDUC ALCALDIA DE MEDELLIN"
1.050e+11,1,"INST EDUC EL SALVADOR"
1.050e+11,4,"INST EDUC RAFAEL GARCIA HERREROS"
1.050e+11,5,"INST EDUC CIUDAD DON BOSCO"
1.050e+11,4,"INST EDUC LA INDEPENDENCIA"
1.050e+11,3,"INST EDUC VILLA FLORA"
1.050e+11,5,"INST EDUC KENNEDY"
1.050e+11,4,"INST EDUC SOL DE ORIENTE"
1.050e+11,2,"INST EDUC LAS NIEVES"
1.050e+11,2,"INST EDUC FINCA LA MESA"
1.050e+11,2,"INST EDUC CASD"
1.050e+11,3,"INST EDUC JOAQUIN VALLEJO ARBELAEZ"
1.050e+11,4,"INST EDUC PBRO ANTONIO JOSE BERNAL LONDOÑO"
1.050e+11,5,"INST EDUC ANGELA RESTREPO MORENO"
1.050e+11,5,"INST EDUC ANTONIO DERKA - SANTO DOMINGO"
1.050e+11,2,"INST EDUC LAS FLORES"
2.050e+11,4,"INST EDUC MONSEÑOR VICTOR WIEDEMANN"
2.050e+11,3,"INST EDUC  SAN CRISTOBAL"
2.050e+11,2,"INST EDUC MANUEL J. BETANCUR"
2.050e+11,2,"INST EDUC PRESBITERO JUAN J. ESCOBAR"
2.050e+11,3,"INST  EDUC ALFONSO UPEGUI OROZCO"
2.050e+11,4,"INST EDUC SAN ANTONIO DE PRADO"
2.050e+11,5,"INST EDUC EL LIMONAR"
3.050e+11,4,"INST EDUC ALVERNIA"
3.050e+11,1,"INST EDUC SANTA JUANA DE LESTONAC"
3.050e+11,4,"INST EDUC LA CANDELARIA"
3.050e+11,2,"INST EDUC MAESTRO ARENAS BETANCUR"
3.050e+11,1,"INST EDUC EL TRIUNFO SANTA TERESA"
3.050e+11,5,"INST EDUC FE Y ALEGRIA LUIS AMIGO"
3.050e+11,4,"INST EDUC MADRE LAURA"
3.050e+11,4,"INST EDUC ARZOBISPO TULIO BOTERO SALAZAR"
3.050e+11,3,"INST EDUC  BARRIO OLAYA HERRERA"
3.050e+11,5,"INST EDUC EL BOSQUE"
1.050e+11,8,"INST EDUC CARLOS VIECO ORTIZ"
1.050e+11,8,"INST EDUC MANUEL URIBE ANGEL"
1.050e+11,7,"INST EDUC FRANCISCO LUIS HERNANDEZ BETANCUR"
1.050e+11,8,"INST EDUC JORGE ELIECER GAITAN"
1.050e+11,8,"INST EDUC MIRAFLORES"
1.050e+11,7,"INST EDUC DEBORA ARANGO PEREZ"
1.050e+11,8,"INST EDUC COL LOYOLA PARA LA CIENCIA Y LA INNOVACION"
1.050e+11,7,"INST EDUC LA HUERTA"
1.050e+11,8,"INST EDUC EL PINAL"
2.050e+11,6,"CENT EDUC MEDIA LUNA"
2.050e+11,6,"CENT EDUC LA ALDEA"
2.050e+11,7,"INST EDUC CARLOS ALBERTO CALDERON"
2.050e+11,6,"CENT EDUC EL SALADO"
2.050e+11,6,"CENT EDUC JUAN ANDRES PATINO"
2.050e+11,6,"CENT EDUC PERMANENTE MAZO"
2.050e+11,7,"INST EDUC MARINA ORTH"
2.050e+11,7,"INST EDUC HECTOR ROGELIO MONTOYA"
2.050e+11,6,"CENT EDUC EL MANZANILLO"
2.050e+11,7,"INST EDUC SANTA ELENA"
2.050e+11,6,"CENT EDUC LAS PLAYAS"
2.050e+11,7,"INST EDUC SAN JOSE OBRERO"
2.050e+11,6,"CENT EDUC TRAVESIAS EL MORRO"
2.050e+11,6,"CENT EDUC PEDREGAL ALTO"
