AmbienteEscolar1,Rendimiento1,Progreso1,IndicadorEducacion,dane,bonus,IndicadorBonus,nombre
14.62774,9.828021,21.41035,45.8661,105001000001,9,54.8661,"INST EDUC JOSE MARIA VELAZ"
14.87499,9.717688,16.57143,41.1641,105001000043,5,46.1641,"INST EDUC BARRIO SANTA CRUZ"
16.1483,12.31424,20.37998,48.84252,105001000108,0,48.84252,"INST EDUC CEFA"
14.30831,11.02779,17.20568,42.54177,105001000132,0,42.54177,"INST EDUC JOSE MARIA BERNAL"
14.31359,10.60308,16.80564,41.72232,105001000141,0,41.72232,"INST EDUC CAMILO TORRES RESTREPO"
14.40191,9.763008,19.3158,43.48072,105001000175,4,47.48072,"INST EDUC GABRIEL RESTREPO MORENO"
13.54336,10.19653,17.95815,41.69805,105001000205,5,46.69805,"INST EDUC SAN AGUSTIN"
13.83727,9.939626,14.83067,38.60757,105001000256,7,45.60757,"INST EDUC HECTOR ABAD GOMEZ"
14.20833,11.0696,18.15256,43.43049,105001000353,0,43.43049,"INST EDUC JUAN DE LA CRUZ POSADA"
16.09581,10.06527,19.00636,45.16744,105001000396,7,52.16744,"INST EDUC JOSE ACEVEDO Y GOMEZ"
14.55941,10.47203,18.21741,43.24886,105001000418,6,49.24886,"INST EDUC LA MILAGROSA"
16.12941,12.56299,26.32925,55.02164,105001000485,0,55.02164,"INST EDUC LA SALLE DE CAMPOAMOR"
14.41321,10.50049,15.97575,40.88945,105001000566,7,47.88945,"INST EDUC CARACAS"
14.32976,13.19421,23.1332,50.65718,105001000621,10,60.65718,"INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN"
14.4765,10.37414,17.60378,42.45442,105001000795,0,42.45442,"INST EDUC ALFREDO COCK ARANGO"
13.79214,10.94745,16.10067,40.84026,105001000809,6,46.84026,"INST EDUC PERPETUO SOCORRO"
16.00918,13.30138,21.90634,51.2169,105001000841,0,51.2169,"INST EDUC JESUS MARIA   EL ROSAL"
15.30902,10.38663,16.39515,42.09079,105001000868,6,48.09079,"INST EDUC REPUBLICA DE VENEZUELA"
14.28853,10.31019,20.6425,45.24122,105001000876,5,50.24122,"INST EDUC JAVIERA LONDOÑO-SEVILLA"
15.33523,11.4967,19.7832,46.61513,105001000931,0,46.61513,"INST EDUC DIEGO ECHAVARRIA MISAS"
14.86793,10.30754,17.21517,42.39064,105001000981,7,49.39064,"INST EDUC GILBERTO ALZATE AVENDAÑO"
15.11296,11.53172,20.77288,47.41755,105001000990,7,54.41755,"INST EDUC GONZALO RESTREPO JARAMILLO"
15.36166,11.33816,15.82315,42.52296,105001001023,5,47.52296,"INST EDUC ANTONIO RICAURTE"
14.60551,11.09501,17.21614,42.91666,105001001121,8,50.91666,"INST EDUC JOSE ROBERTO VASQUEZ"
16.5099,10.23575,17.95061,44.69626,105001001155,7,51.69626,"INST EDUC SAN JUAN BAUTISTA DE LA SALLE"
14.18678,10.37218,21.00403,45.56299,105001001198,6,51.56299,"INST  EDUC AURES"
14.97059,10.69064,21.67586,47.33709,105001001236,10,57.33709,"INST EDUC REPUBLICA DE BARBADOS"
15.29648,10.38157,13.84107,39.51912,105001001252,9,48.51912,"INST EDUC CRISTOBAL COLON"
13.70468,9.811848,16.92212,40.43864,105001001279,6,46.43864,"INST EDUC CIRO MENDIA"
17.12478,12.60331,18.75705,48.48515,105001001317,0,48.48515,"INST EDUC MADRE MARIA MAZARELLO"
13.46508,9.72793,16.89809,40.0911,105001001368,2,42.0911,"INST EDUC ALVARO MARIN VELASCO"
13.82478,10.5247,20.36668,44.71616,105001001473,4,48.71616,"INST EDUC MANUELA BELTRAN"
14.54001,11.81219,21.42595,47.77815,105001001490,0,47.77815,"INST EDUC LOLA GONZALEZ"
14.54647,11.54524,24.62762,50.71934,105001001562,0,50.71934,"INST EDUC JAVIERA LONDOÑO"
14.56463,12.45837,25.01935,52.04235,105001001635,0,52.04235,"INST EDUC YERMO Y PARRES"
13.54688,11.10644,19.11571,43.76904,105001001651,0,43.76904,"INST EDUC JOSE CELESTINO MUTIS"
14.95831,9.954833,12.73801,37.65116,105001001660,5,42.65116,"INST EDUC JOSE ANTONIO GALAN"
15.06663,10.09888,19.42164,44.58715,105001001686,12,56.58715,"INST EDUC RICARDO URIBE ESCOBAR"
14.73011,11.66665,20.57236,46.96913,105001001791,9,55.96913,"INST EDUC GERARDO VALENCIA CANO"
15.1328,9.952031,17.07415,42.15899,105001001805,10,52.15899,"INST EDUC FE Y ALEGRIA POPULAR NRO. 1"
15.30917,12.24466,23.00786,50.5617,105001001848,0,50.5617,"INST EDUC SOR JUANA INES DE LA CRUZ"
15.96798,11.01888,16.32075,43.30761,105001002003,0,43.30761,"INST EDUC SAN ROBERTO BELARMINO"
14.08948,10.30952,15.82825,40.22724,105001002011,0,40.22724,"INST EDUC FEDERICO OZANAM"
15.22557,11.37732,22.64726,49.25015,105001002020,0,49.25015,"INST EDUC RAFAEL URIBE URIBE"
13.03641,11.59812,24.717,49.35152,105001002038,8,57.35152,"INST EDUC JOSE EUSEBIO CARO"
15.0327,7.740191,15.05811,37.83101,105001002071,0,37.83101,"INST EDUC BENJAMIN HERRERA"
14.19994,11.17043,16.99421,42.36458,105001002101,7,49.36458,"INST EDUC JUAN DE DIOS COCK"
14.32943,10.85753,19.85045,45.03741,105001002119,0,45.03741,"INST EDUC MARCO FIDEL SUAREZ"
16.53588,10.07916,17.21583,43.83087,105001002135,10,53.83087,"INST EDUC RAMON MUNERA LOPERA"
16.23027,10.08006,18.91715,45.22747,105001002305,6,51.22747,"INST EDUC MARISCAL ROBLEDO"
14.74787,10.42988,16.87615,42.05391,105001002348,6,48.05391,"INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO"
16.40862,10.27275,17.86795,44.54932,105001002356,9,53.54932,"INST EDUC GABRIEL GARCIA MARQUEZ"
14.89673,11.73618,21.41957,48.05247,105001002461,0,48.05247,"INST EDUC LUCRECIO JARAMILLO VELEZ"
14.15939,10.53961,20.25888,44.95789,105001002470,7,51.95789,"INST EDUC SAN VICENTE DE PAUL"
15.32333,10.28508,15.37337,40.98178,105001002488,6,46.98178,"INST EDUC PEDRO LUIS VILLA"
15.20789,11.04508,22.10461,48.35757,105001002496,0,48.35757,"INST EDUC CRISTO REY"
14.1619,10.09406,13.8049,38.06087,105001002526,4,42.06087,"INST EDUC SAMUEL BARRIENTOS RESTREPO"
13.39578,9.952209,17.57994,40.92793,105001002780,11,51.92793,"INST EDUC SAN FRANCISCO DE ASIS"
15.60617,12.80698,20.01976,48.43291,105001002798,0,48.43291,"INST EDUC MATER DEI"
15.11398,11.67791,24.40344,51.19532,105001002895,0,51.19532,"INST EDUC FRANCISCO ANTONIO ZEA"
15.24013,10.65966,15.23947,41.13926,105001002976,6,47.13926,"INST EDUC LA PIEDAD"
14.00047,11.51921,22.83971,48.35939,105001003123,0,48.35939,"INST EDUC FATIMA NUTIBARA"
13.35853,9.873122,20.79634,44.02799,105001003131,4,48.02799,"INST EDUC REPUBLICA DE HONDURAS"
16.17619,10.49324,16.41921,43.08865,105001003221,8,51.08865,"INST EDUC MANUEL JOSE CAYZEDO"
15.56023,10.59768,21.50121,47.65912,105001003271,0,47.65912,"INST EDUC OCTAVIO HARRY"
14.34496,10.19533,15.42948,39.96978,105001003280,0,39.96978,"INST EDUC MARIA MONTESSORI"
14.76329,11.47865,17.6418,43.88374,105001003298,9,52.88374,"INST EDUC LORENZA VILLEGAS DE SANTOS"
15.4204,10.18078,17.30521,42.90639,105001003387,6,48.90639,"INST EDUC SANTA ROSA DE LIMA"
16.73936,11.02789,18.7123,46.47955,105001003425,0,46.47955,"INST EDUC JOSE MARIA BRAVO MARQUEZ"
13.55304,13.40435,26.35652,53.31391,105001003441,10,63.31391,"INS TEC INDUSTRIAL PASCUAL BRAVO"
15.2142,11.56355,18.06483,44.84259,105001003450,0,44.84259,"INST EDUC ROSALIA SUAREZ"
16.41551,13.99472,24.73932,55.14955,105001004472,0,55.14955,"INST EDUC LA PRESENTACION"
14.8682,14.29589,22.67338,51.83747,105001004791,0,51.83747,"INST EDUC SANTO ANGEL"
15.64427,10.47266,18.04836,44.16529,105001005291,0,44.16529,"INST EDUC CAMPO VALDES"
16.06524,10.20907,16.60598,42.88029,105001005339,7,49.88029,"INST EDUC MONSEÑOR FRANCISCO CRISTOBAL TORO"
14.68159,11.01917,18.9072,44.60796,105001005347,7,51.60796,"INST EDUC TULIO OSPINA"
15.58991,10.88387,17.57459,44.04837,105001005410,0,44.04837,"INST EDUC JUAN DE DIOS CARVAJAL"
14.57197,11.09567,17.86481,43.53245,105001005495,8,51.53245,"INST EDUC REPUBLICA DE URUGUAY"
13.50995,9.694912,17.75393,40.95879,105001005525,4,44.95879,"INST EDUC ENRIQUE OLAYA HERRERA"
14.87025,9.319097,17.78655,41.9759,105001005878,6,47.9759,"INST EDUC FRANCISCO MIRANDA"
16.21896,11.881,21.07225,49.17221,105001006068,0,49.17221,"INST EDUC DINAMARCA"
14.54449,11.43307,22.33219,48.30975,105001006092,0,48.30975,"INST EDUC JULIO CESAR GARCIA"
14.79208,10.64107,21.50755,46.9407,105001006181,4,50.9407,"INST EDUC PEDRO OCTAVIO AMADO"
15.40821,10.27026,17.04439,42.72285,105001006246,5,47.72285,"INST EDUC JORGE ROBLEDO"
13.69532,10.45551,17.32199,41.47282,105001006483,0,41.47282,"INST EDUC RODRIGO CORREA PALACIO"
16.30123,10.55828,18.47352,45.33303,105001006718,5,50.33303,"INST EDUC ASIA IGNACIANA"
16.05994,10.92242,19.97513,46.95748,105001006980,0,46.95748,"INST EDUC CONCEJO DE MEDELLIN"
14.13729,10.00655,15.49029,39.63413,105001007111,7,46.63413,"INST EDUC SEBASTIAN DE BELALCAZAR"
14.8058,10.58212,17.68991,43.07783,105001007188,10,53.07783,"INST EDUC BENEDIKTA ZUR NIEDEN"
15.91167,10.07324,17.99248,43.97739,105001007218,10,53.97739,"INST EDUC MARIA DE LOS ANGELES CANO MARQUEZ"
15.86821,11.69049,23.65895,51.21765,105001007421,0,51.21765,"INST EDUC OCTAVIO CALDERON MEJIA"
13.28076,10.52174,16.77805,40.58054,105001007439,0,40.58054,"INST EDUC PEDRO CLAVER AGUIRRE"
14.58285,10.5273,19.80925,44.9194,105001007889,8,52.9194,"INST EDUC JUVENIL NUEVO FUTURO"
15.01024,9.638973,19.41822,44.06744,105001007978,2,46.06744,"INST EDUC PABLO NERUDA"
15.71927,10.36718,15.09391,41.18036,105001008249,6,47.18036,"INST EDUC BELLO HORIZONTE"
14.21607,10.60328,19.09678,43.91612,105001008389,6,49.91612,"INST EDUC LORETO"
13.12012,10.41059,17.88028,41.41099,105001008451,6,47.41099,"INST EDUC RAMON GIRALDO CEBALLOS"
15.26136,10.44215,17.77051,43.47403,105001008486,0,43.47403,"INST EDUC CAPILLA DEL ROSARIO"
15.59611,10.38915,15.9763,41.96156,105001009652,8,49.96156,"INST EDUC SAN LORENZO DE ABURRA"
15.38033,12.59025,20.15503,48.12561,105001009695,8,56.12561,"INST EDUC SAN JUAN BOSCO"
14.78439,10.71511,15.35426,40.85375,105001009709,5,45.85375,"INST EDUC FELIX HENAO BOTERO"
14.94418,11.00868,19.06343,45.01629,105001009865,0,45.01629,"INST EDUC HERNAN TORO AGUDELO"
14.47104,10.35933,17.53455,42.36492,105001010111,0,42.36492,"INST EDUC MAESTRO FERNANDO BOTERO"
15.35665,12.27128,23.35822,50.98616,105001010367,0,50.98616,"INST EDUC SANTOS ANGELES CUSTODIOS"
16.61152,10.39972,18.94959,45.96084,105001010448,0,45.96084,"INST EDUC LA ESPERANZA"
14.93352,10.30267,18.02116,43.25735,105001010588,11,54.25735,"INST EDUC FE Y ALEGRIA LA CIMA"
15.16291,10.78881,18.58116,44.53288,105001010855,0,44.53288,"INST EDUC  ANA DE CASTRILLON"
12.81713,10.47236,16.19544,39.48493,105001011011,7,46.48493,"INST EDUC TOMAS CARRASQUILLA NO. 2"
15.06463,11.65772,24.13279,50.85513,105001011061,0,50.85513,"INST EDUC JOSE ASUNCION SILVA"
16.9027,10.30384,18.08614,45.29267,105001011070,6,51.29267,"INST EDUC MERCEDITAS GOMEZ MARTINEZ"
15.51863,10.21777,19.48313,45.21954,105001011088,7,52.21954,"INST EDUC CIUDADELA LAS AMERICAS"
15.84326,10.29148,20.14038,46.27512,105001011363,5,51.27512,"INST EDUC DOCE DE OCTUBRE"
15.75316,10.70783,19.3938,45.85479,105001011461,7,52.85479,"INST EDUC FE Y ALEGRIA AURES"
15.06507,10.77618,19.84789,45.68914,105001011606,8,53.68914,"INST EDUC HORACIO MUÑOZ SUESCUN"
14.55437,12.24373,18.01512,44.81321,105001011631,6,50.81321,"INST EDUC ASAMBLEA DEPARTAMENTAL"
15.16113,9.348871,17.05804,41.56805,105001011690,4,45.56805,"INST EDUC FEDERICO CARRASQUILLA"
14.35335,10.98709,21.40167,46.74211,105001011711,5,51.74211,"INST EDUC FE Y ALEGRIA VILLA DE LA CANDELARIA"
15.4936,10.67451,20.55202,46.72012,105001011886,10,56.72012,"INST EDUC AMERICA"
15.33141,10.14139,12.69816,38.17096,105001012092,6,44.17096,"INST EDUC BARRIO SANTANDER"
15.3261,10.65681,20.99448,46.97739,105001012106,0,46.97739,"INST EDUC JUAN MARIA CESPEDES"
14.86325,9.944036,17.41907,42.22635,105001012165,4,46.22635,"INST EDUC GUADALUPE"
14.29408,10.77502,18.26231,43.33141,105001012696,7,50.33141,"INST EDUC ALFONSO LOPEZ PUMAREJO"
16.38094,8.349318,17.17905,41.90931,105001012700,4,45.90931,"INST EDUC SAN PABLO"
15.21854,9.079768,17.41585,41.71416,105001013013,9,50.71416,"INST EDUC PICACHITO"
14.64238,10.38344,12.35263,37.37844,105001013072,0,37.37844,"INST EDUC MAESTRO PEDRO NEL GOMEZ"
15.74416,11.81708,22.3721,49.93334,105001013145,10,59.93334,"INST EDUC SANTA TERESA"
14.80682,12.08195,24.48559,51.37436,105001013340,9,60.37436,"INST EDUC INEM JOSE FELIX DE RESTREPO"
15.31633,10.77225,17.73919,43.82777,105001013439,0,43.82777,"INST EDUC FELIX DE BEDOUT MORENO"
14.89634,10.02403,11.37364,36.294,105001013447,5,41.294,"INST EDUC JOSE HORACIO BETANCUR"
14.55362,9.941082,17.51297,42.00767,105001013633,6,48.00767,"INST EDUC LOMA HERMOSA"
13.92042,9.7526,17.62874,41.30176,105001014052,5,46.30176,"INST EDUC NUEVO HORIZONTE"
15.59268,10.88423,19.27868,45.75558,105001014397,8,53.75558,"INST EDUC LUIS LOPEZ DE MESA"
15.87757,11.95139,21.23581,49.06477,105001014851,10,59.06477,"INST EDUC JESUS REY"
15.75806,10.14784,19.19504,45.10094,105001015091,6,51.10094,"INST EDUC FE Y ALEGRIA GRANIZAL"
13.95647,9.670747,18.8925,42.51971,105001015148,4,46.51971,"INST EDUC CAMILO MORA CARRASQUILLA"
15.16376,9.779094,9.291544,34.2344,105001015172,7,41.2344,"INST EDUC EDUARDO SANTOS"
14.95624,8.880032,14.41406,38.25034,105001015211,5,43.25034,"INST EDUC LA LIBERTAD"
15.04664,9.580245,14.68169,39.30857,105001015229,8,47.30857,"INST EDUC VILLA TURBAY"
15.60769,9.609399,12.06497,37.28206,105001015831,9,46.28206,"INST EDUC VALLEJUELOS"
13.54636,11.10527,20.8274,45.47904,105001016420,8,53.47904,"INST EDUC TRICENTENARIO"
14.05996,10.45774,20.39112,44.90882,105001017132,6,50.90882,"INST EDUC FE Y ALEGRIA SAN JOSE"
15.93491,8.191042,17.52611,41.65207,105001017876,5,46.65207,"INST EDUC FRANCISCO LUIS HERNANDEZ BETANCUR"
15.17226,11.16667,17.55167,43.8906,105001017965,0,43.8906,"INST EDUC MANUEL JOSE GOMEZ S"
15.72366,10.54364,17.42332,43.69061,105001018759,6,49.69061,"INST EDUC FE Y ALEGRIA EL LIMONAR"
15.5521,10.43518,17.92246,43.90975,105001019011,9,52.90975,"INST EDUC ESTELLA VELEZ LONDOÑO ANTES SAUL LONDOÑO LONDOÑO"
16.05717,10.36556,14.69492,41.11765,105001019062,0,41.11765,"INST EDUC ALFONSO MORA NARANJO"
14.33034,9.930119,12.41247,36.67292,105001019089,8,44.67292,"INST EDUC VIDA PARA TODOS"
15.31636,10.61793,16.89804,42.83233,105001019194,4,46.83233,"INST EDUC EL PEDREGAL"
15.14463,10.02066,17.01188,42.17718,105001019305,4,46.17718,"INST EDUC LA AVANZADA"
15.31135,10.49369,18.06782,43.87285,105001019330,7,50.87285,"INST EDUC BARRIO SANTA MARGARITA"
15.45823,10.49771,20.54263,46.49857,105001019429,6,52.49857,"INST EDUC LUIS CARLOS GALAN SARMIENTO"
15.76398,9.541325,17.73951,43.04482,105001019453,8,51.04482,"INST EDUC VILLA DEL SOCORRO"
15.79173,9.04291,17.31898,42.15362,105001019534,6,48.15362,"INST EDUC RODRIGO LARA BONILLA"
14.41004,11.39583,19.41667,45.22255,105001019674,7,52.22255,"INST EDUC MIRAFLORES"
14.17447,9.445062,16.3963,40.01582,105001019798,4,44.01582,"INST EDUC ALFONSO LOPEZ"
12.70367,10.26708,15.45849,38.42924,105001019925,6,44.42924,"INST EDUC ALCALDIA DE MEDELLIN"
16.24962,10.51254,18.18472,44.94688,105001020028,0,44.94688,"INST EDUC EL SALVADOR"
15.33219,11.08543,23.80819,50.2258,105001020052,0,50.2258,"INST EDUC RAFAEL GARCIA HERREROS"
16.29138,11.55786,17.78161,45.63086,105001020273,6,51.63086,"INST EDUC CIUDAD DON BOSCO"
14.74485,9.931765,17.45802,42.13463,105001021199,8,50.13463,"INST EDUC LA INDEPENDENCIA"
15.50908,11.70939,21.67066,48.88913,105001021547,9,57.88913,"INST EDUC VILLA FLORA"
14.86966,10.26576,17.10084,42.23626,105001021636,7,49.23626,"INST EDUC KENNEDY"
14.40395,9.694529,16.14589,40.24437,105001021873,8,48.24437,"INST EDUC SOL DE ORIENTE"
14.85031,9.971362,18.81932,43.64099,105001022101,8,51.64099,"INST EDUC LAS NIEVES"
16.06757,9.748873,16.63051,42.44696,105001023965,4,46.44696,"INST EDUC FINCA LA MESA"
14.56679,10.83617,18.03116,43.43411,105001024073,6,49.43411,"INST EDUC CASD"
13.82279,10.37861,16.57185,40.77325,105001025780,7,47.77325,"INST EDUC PBRO ANTONIO JOSE BERNAL LONDOÑO"
15.4746,11.10233,18.4132,44.99013,105001025844,16,60.99013,"INST EDUC ANTONIO DERKA - SANTO DOMINGO"
13.91253,11.26293,16.81856,41.99402,205001001389,16,57.99402,"CENT EDUC MEDIA LUNA"
14.79259,10.65794,19.21334,44.66387,205001001672,5,49.66387,"INST EDUC MONSEÑOR VICTOR WIEDEMANN"
15.74168,9.682343,19.12387,44.54789,205001001966,15,59.54789,"CENT EDUC LA ALDEA"
13.73035,10.16223,17.25212,41.14471,205001002199,4,45.14471,"INST EDUC CARLOS ALBERTO CALDERON"
14.52774,9.682343,16.64634,40.85642,205001002768,19,59.85642,"CENT EDUC EL SALADO"
15.36388,9.898322,14.62216,39.88436,205001006119,9,48.88436,"CENT EDUC JUAN ANDRES PATINO"
18.12456,11.40222,20.05156,49.57834,205001006224,16,65.57834,"CENT EDUC PERMANENTE MAZO"
14.18362,9.918334,18.55545,42.65741,205001006232,7,49.65741,"INST EDUC  SAN CRISTOBAL"
15.84205,10.80049,20.13196,46.7745,205001006526,6,52.7745,"INST EDUC MARINA ORTH"
13.05223,9.926314,19.7875,42.76605,205001007735,2,44.76605,"INST EDUC HECTOR ROGELIO MONTOYA"
15.10537,10.89343,18.94412,44.94292,205001009797,9,53.94292,"INST EDUC MANUEL J. BETANCUR"
14.87124,9.67113,18.71537,43.25774,205001009916,14,57.25774,"CENT EDUC EL MANZANILLO"
14.55411,10.32077,15.76641,40.64129,205001010264,5,45.64129,"INST EDUC PRESBITERO JUAN J. ESCOBAR"
15.50516,10.1133,17.47387,43.09233,205001010281,7,50.09233,"INST  EDUC ALFONSO UPEGUI OROZCO"
14.35802,11.91718,22.18107,48.45627,205001011031,7,55.45627,"INST EDUC SANTA ELENA"
15.10303,10.84875,20.10037,46.05215,205001012534,5,51.05215,"INST EDUC SAN ANTONIO DE PRADO"
15.49461,10.88675,16.76901,43.15038,205001014308,12,55.15038,"CENT EDUC LAS PLAYAS"
12.98499,9.738579,13.85627,36.57985,205001018745,4,40.57985,"INST EDUC EL LIMONAR"
15.56771,10.91107,22.55032,49.0291,205001019318,7,56.0291,"INST EDUC SAN JOSE OBRERO"
15.49654,10.5417,20.59709,46.63532,205001019989,11,57.63532,"CENT EDUC TRAVESIAS EL MORRO"
14.59046,11.35502,17.89164,43.83712,205001021452,9,52.83712,"CENT EDUC PEDREGAL ALTO"
13.56977,11.50107,21.93404,47.00488,305001004854,8,55.00488,"INST EDUC ALVERNIA"
16.96494,12.72379,22.81689,52.50562,305001007594,10,62.50562,"INST EDUC SANTA JUANA DE LESTONAC"
14.30097,10.21608,19.28481,43.80186,305001015287,10,53.80186,"INST EDUC LA CANDELARIA"
14.17225,10.36506,17.03996,41.57726,305001015686,0,41.57726,"INST EDUC MAESTRO ARENAS BETANCUR"
15.54243,10.23612,18.92861,44.70715,305001016542,10,54.70715,"INST EDUC EL TRIUNFO SANTA TERESA"
15.7701,8.760565,17.77066,42.30133,305001018022,6,48.30133,"INST EDUC FE Y ALEGRIA LUIS AMIGO"
15.35062,12.28617,20.12874,47.76553,305001018839,0,47.76553,"INST EDUC MADRE LAURA"
14.31075,9.932243,18.71168,42.95467,305001019690,8,50.95467,"INST EDUC ARZOBISPO TULIO BOTERO SALAZAR"
16.03933,10.01902,17.67992,43.73827,305001022232,8,51.73827,"INST EDUC  BARRIO OLAYA HERRERA"
